,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
62,4,63," Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que  puedas estar bien!",educativo,glicemia,hola si voy a la consulta,respuesta a consejo o pregunta,hola si voy a la consulta,hola si voy a la consulta,hola si voy a la consulta,hola si voy a la consulta,hola si voy a la consulta,hola si voy consulta,hola si voy consulta,holar si ir consultar,holar si ir consultar,hol si voy consult,hol si voy consult
63,4,64, Recuerda cambiar el lugar del cuerpo donde te aplica la insulina. Podés aplicarte en un mismo lugar durante una semana y despues cambiar a otro.,educativo,,hola buen dia gracias,agradecimiento,hola buen dia gracias,hola buen día gracias,hola buen día gracias,hola buen día gracias,hola buen dia gracias,hola buen día gracias,hola buen dia gracias,holar buen día gracias,holar buen diar gracia,hol buen dia graci,hol buen dia graci
64,4,65, La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,hola buenos dias muchas gracias,agradecimiento,hola buenos dias muchas gracias,hola buenos dias muchas gracias,hola buenos dias muchas gracias,hola buenos dias muchas gracias,hola buenos dias muchas gracias,hola buenos dias muchas gracias,hola buenos dias muchas gracias,holar buen dia mucho gracia,holar buen dia mucho gracia,hol buen dias much graci,hol buen dias much graci
65,4,66, Las complicaciones que causa la DIABETES (como el infarto y la ceguera) pueden evitarse. ¿Cómo? Cuidándose. Chárlalo con tu médico.,educativo,,hola gracias x el consejo,agradecimiento,hola gracias x el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias consejo,hola gracias consejo,holar gracias consejo,holar gracias consejo,hol graci consej,hol graci consej
66,4,67, Si aprendes a cuidarte vas a estar mejor! Los talleres de DIABETES que se realizan en los centros de salud son de mucha ayuda. Acércate a tu centro de salud.,educativo,,hola si el dia del riñon estuvimos en el barrio cabot y nos dieron una charla,respuesta a consejo o pregunta,hola si el dia del riñon estuvimos en el barrio cabot y nos dieron una charla,hola si el día del riñon estuvimos en el barrio cabot y nos dieron una charla,hola si el día del riñon estuvimos en el barrio cabot y nos dieron una charla,hola si el día del riñon estuvimos en el barrio cabot y nos dieron una charla,hola si el dia del rinon estuvimos en el barrio cabot y nos dieron una charla,hola si día riñon barrio cabot dieron charla,hola si dia rinon barrio cabot dieron charla,holar si día riñon barrio cabot dar char él,holar si diar rinon barrio cabot dar char él,hol si dia riñon barri cabot dieron charl,hol si dia rinon barri cabot dieron charl
67,4,68," Si tenés DIABETES o azúcar en sangre alta, es importante un control con tu médico  cada 3 meses en su centro de salud. Así vas a estar bien.",educativo,glicemia,hola asi lo hago gracias,respuesta a consejo o pregunta,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi hago gracias,hola asi hago gracias,holar asi hacer gracia,holar asi hacer gracia,hol asi hag graci,hol asi hag graci
68,4,69, ¿Sabías que los médicos de los centros de salud se capacitaron para que  recibas una mejor atención?,educativo,,hola si lo sAbia gracias,respuesta a consejo o pregunta,hola si lo sabia gracias,hola si lo sabia gracias,hola si lo sabia gracias,hola si lo sabia gracias,hola si lo sabia gracias,hola si sabia gracias,hola si sabia gracias,holar si saber gracia,holar si saber gracia,hol si sabi graci,hol si sabi graci
69,4,70, Si sos diabético tenés que hacerte un fondo de ojo todos los años. ¿Cuándo fue la última vez que visitaste al oculista?,educativo,,hola el año pasado lo.  hicieron gracias,respuesta a consejo o pregunta,hola el año pasado lo hicieron gracias,hola el año pasado lo hicieron gracias,hola el año pasado lo hicieron gracias,hola el año pasado lo hicieron gracias,hola el ano pasado lo hicieron gracias,hola año pasado hicieron gracias,hola ano pasado hicieron gracias,holar año pasado hacer gracia,holar ano pasado hacer gracia,hol año pas hic graci,hol ano pas hic graci
70,4,71, ¿Te hiciste revisar los pies por un profesional de la salud? Tener azúcar alta en sangre puede afectar los nervios de las piernas de las personas con DIABETES.,educativo,,hola si me revisaron lo pies la semana pasada,respuesta a consejo o pregunta,hola si me revisaron lo pies la semana pasada,hola si me revisaron lo pies la semana pasada,hola si me revisaron lo pies la semana pasada,hola si me revisaron lo pies la semana pasada,hola si me revisaron lo pies la semana pasada,hola si revisaron pies semana pasada,hola si revisaron pies semana pasada,holar si revisar pi semana pasado,holar si revisar pi semana pasado,hol si revis pies seman pas,hol si revis pies seman pas
71,4,72, La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,hola gracias lo sabia ya,respuesta a consejo o pregunta,hola gracias lo sabia ya,hola gracias lo sabia ya,hola gracias lo sabia ya,hola gracias lo sabia ya,hola gracias lo sabia ya,hola gracias sabia ya,hola gracias sabia ya,holar gracias sabio ya,holar gracias sabio ya,hol graci sabi ya,hol graci sabi ya
72,4,73, Trata de no olvidarte de tomar los medicamentos y de aplicarse la insulina para la DIABETES porque si no el tratamiento no funciona.,educativo,,hola si eso lo hago gracias,respuesta a consejo o pregunta,hola si eso lo hago gracias,hola si eso lo hago gracias,hola si eso lo hago gracias,hola si eso lo hago gracias,hola si eso lo hago gracias,hola si hago gracias,hola si hago gracias,holar si hacer gracia,holar si hacer gracia,hol si hag graci,hol si hag graci
73,4,74, Evita las gaseosas y los jugos artificiales porque aumentan el azúcar en sangre. Tu cuerp ote lo va a agradecer y te vas a sentir mejor.,educativo,,hola si gracias x el consejo,respuesta a consejo o pregunta,hola si gracias x el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias consejo,hola si gracias consejo,holar si gracias consejo,holar si gracias consejo,hol si graci consej,hol si graci consej
74,4,75," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,.hola gracias x el consejo,agradecimiento, hola gracias x el consejo, hola gracias por el consejo, hola gracias por el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias consejo,hola gracias consejo,holar gracias consejo,holar gracias consejo,hol graci consej,hol graci consej
75,4,76," ¿Sabías que un plato saludable incluye hidratos de carbono (que están en el arroz o las lentejas), verduras y carnes?",educativo,,si muchas gracias,respuesta a consejo o pregunta,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si mucho gracia,si mucho gracia,si much graci,si much graci
76,4,77," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,hola si gracias x el consejo,respuesta a consejo o pregunta,hola si gracias x el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias por el consejo,hola si gracias consejo,hola si gracias consejo,holar si gracias consejo,holar si gracias consejo,hol si graci consej,hol si graci consej
77,4,78," Si tenes DIABETES, es importante que tu presión arterial no sea mayor a ""14/9"". Así evitarás tener problemas en el corazón y en los riñones.",educativo,,hola si muchas gracias x todos los concejos,respuesta a consejo o pregunta,hola si muchas gracias x todos los concejos,hola si muchas gracias por todos los consejos,hola si muchas gracias por todos los consejos,hola si muchas gracias por todos los consejos,hola si muchas gracias por todos los consejos,hola si muchas gracias consejos,hola si muchas gracias consejos,holar si mucho gracia consejo,holar si mucho gracia consejo,hol si much graci consej,hol si much graci consej
78,5,79,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
79,5,80,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,👍💑,optin,👍💑,👍💑, em_pulgar_hacia_arriba  em_pareja_enamorada ,,,,,,,,
80,6,81, Aunque te sientas bien visita al médico en tu centro de salud para un control.,educativo,,Maxsimo al 100,respuesta a consejo o pregunta,maxsimo al 100,maxsimo al 100,maxsimo al 100,maxsimo al 100,maxsimo al 100,maxsimo 100,maxsimo 100,maxsimo 100,maxsimo 100,maxsim 100,maxsim 100
81,7,82,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
82,7,83,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Ok gracias,agradecimiento,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
83,7,84, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
84,7,85, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
85,7,86, Recuerda cambiar el lugar del cuerpo donde te aplica la insulina. Podés aplicarte en un mismo lugar durante una semana y despues cambiar a otro.,educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
86,7,87," En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte, cómo aplicarte la insulina o como cuidarte los pies)",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
87,7,88, Consulta con tu médico para chequear tus niveles de azúcar en sangre. ¡El diagnóstico se hace con un análisis muy simple! Aconsejale también a tus familiares que se midan el azucar.,educativo,glicemia,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
88,7,89, Consulta con tu médico para chequear tus niveles de azúcar en sangre. ¡El diagnóstico se hace con un análisis muy simple! Aconsejale también a tus familiares que se midan el azucar.,educativo,glicemia,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
89,8,90,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
90,8,91, Para que tu DIABETES esté bien controlada debe tener un valor de hemoglobina glicosilada cercano al 7 en sus analisis de sangre. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,"Si , El último control hace 3 meses es de 5 ,6..",respuesta a consejo o pregunta,si el último control hace 3 meses es de 5 6 ,si el último control hace 3 meses es de 5 6 ,si el último control hace 3 meses es de 5 6 ,si el último control hace 3 meses es de 5 6,si el ultimo control hace 3 meses es de 5 6,si último control hace 3 meses 5 6,si ultimo control hace 3 meses 5 6,si último control hacer 3 mes 5 6,si ultimo control hacer 3 mes 5 6,si ultim control hac 3 mes 5 6,si ultim control hac 3 mes 5 6
91,8,92, Algunas personas que tienen DIABETES pueden sentirse tristes o abatidas por la enfermedad. Si te sentis así háblalo con tu familia y con tu médico.,educativo,,👍👍👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
92,8,93,Hemos llegado al final de nuestro programa de mensajes. Recordá que siempre contás con el apoyo del equipo de salud de tu centro.,final,,Mil gracias!!!!,agradecimiento,mil gracias ,mil gracias ,mil gracias ,mil gracias,mil gracias,mil gracias,mil gracias,mil gracia,mil gracia,mil graci,mil graci
93,9,94,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
